Clave BibTeX;Tipo de entrada;Autor;Anio;Titulo;DOI;URL;Tipo de fuente;Ubicacion consultada;Permite leer el contexto citado;Estado de acceso;Citas en main.tex;Hash del artefacto consultado;Carpeta local (no versionada)
angelopoulos2023conformal;misc;Angelopoulos, Anastasios N. and Bates, Stephen;2023;Conformal Prediction: A Gentle Introduction;10.1561/2200000101;Sin URL;No registrado;No registrado;No registrado;No registrado;1;Sin artefacto local;No presente en la copia local
cce2024_equilibrio;techreport;{Agencia Nacional de Contratación Pública -- Colombia Compra Eficiente};2024;Equilibrio económico del contrato, revisión y ajuste de precios: Concepto C-448 de 2024;Sin DOI;Sin URL;No registrado;No registrado;No registrado;No registrado;3;Sin artefacto local;No presente en la copia local
dane_ficha_icociv;techreport;{Departamento Administrativo Nacional de Estadística};2021;Ficha metodológica Índice de Costos de la Construcción de Obras Civiles (ICOCIV);No aplica;https://www.dane.gov.co/index.php/estadisticas-por-tema/precios-y-costos/indice-de-costos-de-la-construccion-de-obras-civiles-icociv;HTML institucional ?Permite leer el contexto citado? Si;Pagina institucional DANE con documentos, anexos y publicaciones.;No registrado;Verificada con pagina oficial suficiente;5;"fuente.html sha256=9b85cd2acfa91ef9ac8fcab3cc1b90df5b0a4aa6f289112a0724944d70345de9; fuente_revisable.md sha256=b35516f973f5f218f078fc7b03c0fddd1933c2c71f01fac844ae0a67a446d5b2";usadas_en_documento_latex/09_Departamento_Administrativo_Nacional_de_Estadistica_2021_dane_ficha_icociv
dane_metodologia_icociv;techreport;{Departamento Administrativo Nacional de Estadística};2021;Metodología general Índice de Costos de la Construcción de Obras Civiles (ICOCIV);Sin DOI;https://www.dane.gov.co/files/investigaciones/fichas/construccion/DSO-ICOCIV-MET-001.pdf;No registrado;No registrado;No registrado;No registrado;5;Sin artefacto local;No presente en la copia local
duan1983;article;Duan, Naihua;1983;Smearing Estimate: A Nonparametric Retransformation Method;10.1080/01621459.1983.10478017;https://www.semanticscholar.org/paper/Smearing-Estimate%3A-A-Nonparametric-Retransformation-Duan/6ece6d1c9b25353f0a625cfca5629a212ecc981d;Resumen academico accesible/API Semantic Scholar ?Permite leer el contexto citado? Parcialmente;"Resumen legible sobre el estimador smearing; DOI conserva identificacion academica.";No registrado;Verificada parcialmente, pero suficiente para la afirmacion;2;"fuente.html sha256=9f9240418d8a23fd1424f22235444084a0aa0d2b6ba52f601681ab1cf05bf602; fuente_revisable.md sha256=2149cc99d10ac3c83e2d6340d6862c24cc05570cd6a99a9cbf594e70bd89779b; fuente_semantic_scholar.json sha256=3c632dc90f413a5a5e8497877797ebc217b157ea8cf300083443e674c97f46fd";usadas_en_documento_latex/01_Duan_Naihua_1983_duan1983
gardner_mckenzie1985;article;Gardner, Everette S. and McKenzie, Ed;1985;Forecasting Trends in Time Series;10.1287/mnsc.31.10.1237;Sin URL;No registrado;No registrado;No registrado;No registrado;4;Sin artefacto local;No presente en la copia local
granger_newbold1974;article;Granger, Clive W. J. and Newbold, Paul;1974;Spurious Regressions in Econometrics;10.1016/0304-4076(74)90034-7;Sin URL;No registrado;No registrado;No registrado;No registrado;4;Sin artefacto local;No presente en la copia local
holt1957;article;Holt, Charles C.;2004;Forecasting seasonals and trends by exponentially weighted moving averages;10.1016/j.ijforecast.2003.09.015;https://doi.org/10.1016/j.ijforecast.2003.09.015;DOI con resumen suficiente ?Permite leer el contexto citado? Parcialmente;"DOI de reimpresion del memorandum de Holt; para detalle operativo se complementa con Hyndman FPP3.";No registrado;Verificada parcialmente, pero suficiente para la afirmacion;3;"fuente.html sha256=36a3428fa9a76a8860e1b587322c4e3468178f6a1143463396343028cbcfb080; fuente_revisable.md sha256=1fe630ae1a17267d185fe3c1c489ac4ce6c92368d57059c6ecbad4fa9b94d031";usadas_en_documento_latex/02_Holt_Charles_C_2004_holt1957
hyndman2021fpp3;book;Hyndman, Rob J. and Athanasopoulos, George;2021;Forecasting: Principles and Practice;No aplica;https://otexts.com/fpp3/;Libro abierto HTML ?Permite leer el contexto citado? Si;Libro abierto completo en OTexts.;No registrado;Verificada con texto completo;13;"fuente.html sha256=dceed065b19f91803991b1937524a1998258b61a0c07527999adbcd7260378ff; fuente_revisable.md sha256=5eef670496b92e3b6c3454a9fdb9daac0454ebf961af3166f643599b8bd33207";usadas_en_documento_latex/03_Hyndman_Rob_J_2021_hyndman2021fpp3
hyndman_koehler2006;article;Hyndman, Rob J. and Koehler, Anne B.;2006;Another look at measures of forecast accuracy;10.1016/j.ijforecast.2006.03.001;https://robjhyndman.com/papers/forecast-accuracy.pdf;PDF de autor ?Permite leer el contexto citado? Si;Copia de autor con texto completo sobre medidas de error y MASE.;No registrado;Verificada con texto completo;5;"fuente.pdf sha256=b46d03c6eb5fc05d317913302bebc661afe9b4f3c0175aba6fcf6384cea5392e; fuente_revisable.md sha256=eb3b14eaa516bfdaa5a610ed95cf12990cbee0935c6ec609a9898fc20d7b608b";usadas_en_documento_latex/06_Hyndman_Rob_J_2006_hyndman_koehler2006
hyndman_tscv_2021;misc;Hyndman, Rob J. and Athanasopoulos, George;2021;Time series cross-validation;No aplica;https://otexts.com/fpp3/tscv.html;HTML oficial ?Permite leer el contexto citado? Si;Seccion abierta sobre validacion cruzada temporal.;No registrado;Verificada con pagina oficial suficiente;1;"fuente.html sha256=ad1019adc886eed6a42b0767194172f7095e318569e567efa25116cff52ac7a7; fuente_revisable.md sha256=08278a93278e96eb356c692b543baf9b572ce7e0969fbc3366f4b6b857afabec";usadas_en_documento_latex/04_Hyndman_Rob_J_2021_hyndman_tscv_2021
idu_circular_6_2022;techreport;{Instituto de Desarrollo Urbano};2022;Circular N. 6 de 2022: Lineamientos sobre índices ICCP, ICOCIV y acero;Sin DOI;Sin URL;No registrado;No registrado;No registrado;No registrado;4;Sin artefacto local;No presente en la copia local
invias2010_interventoria;techreport;{Instituto Nacional de Vías};2010;Manual de Interventoría de Obra Pública;Sin DOI;https://www.invias.gov.co/index.php/documentos-tecnicos-izquierda;No registrado;No registrado;No registrado;No registrado;2;Sin artefacto local;No presente en la copia local
invias2022_icociv;techreport;{Instituto Nacional de Vías};2022;Procedimiento de implementación del Índice de Costos de la Construcción de Obras Civiles (ICOCIV) en los contratos de obras del INVIAS;Sin DOI;Sin URL;No registrado;No registrado;No registrado;No registrado;3;Sin artefacto local;No presente en la copia local
jarque_bera1987;article;Jarque, Carlos M. and Bera, Anil K.;1987;A Test for Normality of Observations and Regression Residuals;10.2307/1403192;Sin URL;No registrado;No registrado;No registrado;No registrado;2;Sin artefacto local;No presente en la copia local
lei2018conformal;article;Lei, Jing and G'Sell, Max and Rinaldo, Alessandro and Tibshirani, Ryan J. and Wasserman, Larry;2018;Distribution-Free Predictive Inference for Regression;10.1080/01621459.2017.1307116;Sin URL;No registrado;No registrado;No registrado;No registrado;1;Sin artefacto local;No presente en la copia local
manning_mullahy2001;article;Manning, Willard G. and Mullahy, John;2001;Estimating log models: To transform or not to transform?;10.1016/S0167-6296(01)00086-8;https://www.nber.org/system/files/working_papers/t0246/t0246.pdf;PDF NBER ?Permite leer el contexto citado? Si;Version NBER abierta con texto completo sobre modelos logaritmicos.;No registrado;Verificada con texto completo;1;"fuente.pdf sha256=e3e1505a4e8dcbc0c3106f9e62abf5a17d6406990749663f5519badfdc8d4357; fuente_revisable.md sha256=fa0388d737a32af4bbf26dd0c18700f3d33314c34e40e82023ece3672cfb937d";usadas_en_documento_latex/07_Manning_Willard_G_2001_manning_mullahy2001
nist_eda_summary;misc;{National Institute of Standards and Technology};s.f.;Exploratory data analysis;No aplica;https://www.itl.nist.gov/div898/handbook/eda/eda.htm;HTML oficial NIST ?Permite leer el contexto citado? Si;Manual NIST de analisis exploratorio.;No registrado;Verificada con pagina oficial suficiente;2;"fuente.html sha256=e1b218614e796233df2b45d82e86f8cc8b8ee3a182a3d46dade8f8e7b0a58751; fuente_revisable.md sha256=7a364f4d1aee72758c985cb8ca797b006904b33c4fe358f86d92399fc3e4ec17";usadas_en_documento_latex/14_National_Institute_of_Standards_s.f._nist_eda_summary
nist_outliers;misc;{National Institute of Standards and Technology};s.f.;Detection of Outliers;No aplica;https://www.itl.nist.gov/div898/handbook/eda/section3/eda35h.htm;HTML oficial NIST ?Permite leer el contexto citado? Si;Pagina NIST con modified Z-score y MAD.;No registrado;Verificada con pagina oficial suficiente;5;"fuente.html sha256=466422a0441b94b3317304fa6ac09e6a614da76c80f6accc102c1273a32163db; fuente_revisable.md sha256=2e54453b125ca864d1609dc31ec61c4afee9ef4c19974138eb67bcbd8e3e2706";usadas_en_documento_latex/13_National_Institute_of_Standards_s.f._nist_outliers
penn_state_robust_regression;misc;{Penn State Eberly College of Science};s.f.;Topic 1: Robust regression;No aplica;https://online.stat.psu.edu/stat501/Topic1Robustregression.html;Curso abierto HTML ?Permite leer el contexto citado? Si;Notas abiertas sobre regresion robusta y efecto de atipicos.;No registrado;Verificada con texto completo;1;"fuente.html sha256=4c3ead9a3fda70c14a293744c98e8547a947cbfee34511865f5658eddf2bd921; fuente_revisable.md sha256=6fc9feeefb1e00be37f42095f1a36ba3296fdf2466c2fa0b28314c29e3971324";usadas_en_documento_latex/16_Penn_State_Eberly_College_of_Science_s.f._penn_state_robust_regression
skforecast_backtesting_2026;misc;{skforecast};2026;Backtesting forecaster;No aplica;https://skforecast.org/0.15.0/user_guides/backtesting.html;Documentacion oficial HTML ?Permite leer el contexto citado? Si;Guia tecnica abierta sobre backtesting.;No registrado;Verificada con documentacion oficial;1;"fuente.html sha256=f611ff9ddbc832bcf0e7214881243a522dba6fca706d9356a15ef3dda73e0253; fuente_revisable.md sha256=17579e9ae54f13147a373196586cc744bca1efe7a4d870836497de24898ae97c";usadas_en_documento_latex/18_skforecast_2026_skforecast_backtesting_2026
springer_spurious_regressions;misc;{Springer Nature};2016;Spurious regressions;No aplica;https://link.springer.com/rwe/10.1007/978-1-349-58802-2_1592;HTML enciclopedico Springer ?Permite leer el contexto citado? Si;Entrada enciclopedica legible sobre regresiones espurias.;No registrado;Verificada con pagina oficial suficiente;1;"fuente.html sha256=32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea; fuente_revisable.md sha256=422241c7c172ec22ddbeb6e426a38e827f5b62041389712b1d822e28d29f669f";usadas_en_documento_latex/17_Springer_Nature_2016_springer_spurious_regressions
